# Date, petrol (Rs./litre), diesel (Rs./litre), PDS kerosene (Rs./litre)
01.04.2015, 60.49, 49.71, 15.24
01.07.2015, 66.62, 50.22, 15.24
01.10.2015, 61.2, 44.95, 15.24
01.01.2016, 59.35, 45.03, 15.24
01.04.2016, 59.68, 48.33, 15.42
01.07.2016, 64.76, 54.7, 15.02
01.10.2016, 64.58, 52.51, 16.66
01.01.2017, 68.94, 56.68, 18.28
01.04.2017, 66.29, 55.61, 18.77
01.07.2017, 63.09, 53.33, 21.09
01.10.2017, 69.22, 58.4, 22.76
01.01.2018, 69.97, 59.7, 22.39
01.04.2018, 73.73, 64.58, 23.98
01.07.2018, 75.55, 67.38, 25.56
